Program,Utilities,01_1,01_10,01_2,01_3,01_4,01_5,01_6,01_7,01_8,01_9,02_1,02_10,02_2,02_3,02_4,02_5,02_6,02_7,02_8,02_9
head,ToyBox,331115,315673,274536,306029,315002,341125,340697,308410,307861,315490,296141.0,310912.0,286438.0,304931.0,338378.0,341124.0,342528.0,308409.0,297240.0,314391.0
head,GNU,296081,305358,298400,313232,338684,342040,324950,341246,337768,298950,308898.0,317321.0,293945.0,301635.0,328002.0,341674.0,344359.0,343016.0,312743.0,312072.0
cksum,BusyBox,462832738,476869262,462639624,470815567,524014406,523570010,524282960,523098148,470618851,473898811,312072.0,340148.0,335937.0,331847.0,359375.0,377379.0,372496.0,360778.0,330566.0,332519.0
cksum,ToyBox,389224590,403397771,396556846,402142953,435820845,434710801,436185224,396524376,390468605,436481549,314941.0,324462.0,332580.0,351867.0,361815.0,361450.0,361083.0,331481.0,319458.0,347838.0
cksum,GNU,21830572,21328132,20592355,21936772,23761109,23524903,23613709,23539552,23908691,20815071,292785.0,289551.0,282165.0,287963.0,332763.0,313658.0,315002.0,314757.0,305785.0,283752.0
comm,BusyBox,116847540,120903927,126922587,119279114,131171356,132068509,131940763,132306851,119255005,130510591,106697176.0,111101522.0,119214050.0,109240809.0,130382967.0,119158692.0,120609188.0,120526730.0,109293361.0,110000146.0
comm,ToyBox,575335746,608775541,583607820,627750774,646008051,644459836,647620961,582467931,595644716,649105089,53358933.0,57299597.0,63154746.0,65098161.0,65705032.0,65535110.0,60676603.0,54889020.0,53570542.0,66273329.0
comm,GNU,55522075,57741063,55527263,57043678,62987265,62345055,62708031,62463586,61617762,55774698,50173334.0,51685841.0,45971928.0,47046755.0,56357644.0,51329703.0,55810038.0,51597342.0,51590261.0,46012272.0
echo,BusyBox,297912,276549,313354,275939,300902,342529,328429,313842,298950,301574,294799.0,276610.0,311401.0,272949.0,301208.0,330932.0,326965.0,314086.0,312683.0,314331.0
echo,ToyBox,315001,302062,292968,308166,307494,340209,359374,313537,281616,300231,309692.0,310241.0,279296.0,305114.0,313537.0,340331.0,307677.0,297790.0,309569.0,323790.0
echo,GNU,294494,305908,309447,315612,329589,339599,333617,342834,335815,296630,306090.0,303771.0,299987.0,303283.0,341002.0,342651.0,346495.0,342040.0,327880.0,312194.0
