iteration;CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;Program;TestNr;Utilities;Repetition
0;59570;88195;15503;23426;282226;0;0;du;1;ToyBox;cat_repeat14.csv
0;64087;91736;16418;24855;283080;0;0;wc;2;GNU;cat_repeat14.csv
0;29009569;44316049;10658420;12330344;157267542;0;0;cp;2;GNU;cat_repeat14.csv
0;68238;100708;17151;26703;330565;0;0;ls;2;ToyBox;cat_repeat14.csv
0;73242;110657;19897;25028;326049;0;0;du;2;BusyBox;cat_repeat14.csv
0;4820117;7082502;1441219;1906221;24084350;0;0;mv;1;BusyBox;cat_repeat14.csv
0;474486;666197;112854;153845;2045710;0;0;cut;2;GNU;cat_repeat14.csv
0;2444879;3223319;826291;672764;9007057;0;0;sort;2;GNU;cat_repeat14.csv
0;64453;90637;15442;24991;282592;0;0;wc;2;ToyBox;cat_repeat14.csv
0;7315045;10476474;1850459;2661200;34043187;0;0;cut;1;ToyBox;cat_repeat12.csv
0;927060;1296322;214538;300316;3941274;0;0;cut;2;BusyBox;cat_repeat12.csv
0;62866;89295;14832;24864;280517;0;0;wc;1;GNU;cat_repeat12.csv
0;68238;95093;17334;23438;317016;0;0;du;1;BusyBox;cat_repeat12.csv
0;6155197;9658850;2179011;3589432;40101033;0;0;mv;2;BusyBox;cat_repeat12.csv
0;22103153;31103802;7021467;7813076;103404582;0;0;cp;1;BusyBox;cat_repeat12.csv
0;65674;91797;15686;25066;283202;0;0;wc;1;ToyBox;cat_repeat12.csv
0;70556;93872;15991;26097;319701;0;0;cat;1;GNU;cat_repeat12.csv
0;64819;90454;15442;24930;308287;0;0;wc;1;BusyBox;cat_repeat12.csv
0;62195;84656;14221;24699;292968;0;0;cat;1;BusyBox;cat_repeat12.csv
0;3803457;5228441;971189;1515263;18668409;0;0;mv;1;ToyBox;cat_repeat12.csv
0;599608;842527;150024;206640;2699090;0;0;cut;1;GNU;cat_repeat12.csv
0;28585681;43880137;10583530;12267193;155746976;1281;0;cp;2;ToyBox;cat_repeat12.csv
0;5834885;7946024;1577205;2201725;27697927;0;0;sort;1;BusyBox;cat_repeat12.csv
0;6989056;9963171;1743831;2564398;32326760;0;0;cut;2;ToyBox;cat_repeat12.csv
0;72998;102783;18738;25269;330260;0;0;du;2;GNU;cat_repeat12.csv
0;4273549;5881577;1094846;1719739;20480294;0;0;mv;2;ToyBox;cat_repeat12.csv
0;62500;85327;14892;24782;278381;0;0;touch;1;ToyBox;cat_repeat12.csv
0;83801;117858;20020;32976;388732;0;0;cat;2;ToyBox;cat_repeat12.csv
0;59509;91003;15991;23266;298278;0;0;du;1;GNU;cat_repeat12.csv
0;4342091;5965012;1108579;1729692;19551769;0;0;mv;2;GNU;cat_repeat12.csv
0;22141911;31307232;7057477;7810793;103893838;10620;0;cp;1;ToyBox;cat_repeat12.csv
0;62255;88562;14832;24789;289062;0;0;cat;2;GNU;cat_repeat12.csv
0;28603442;43909250;10596225;12296675;156069486;0;0;cp;2;BusyBox;cat_repeat12.csv
0;74218;107788;20020;24985;327758;0;0;ls;2;BusyBox;cat_repeat12.csv
0;62133;86914;14832;24624;291381;0;0;touch;2;BusyBox;cat_repeat12.csv
0;5747361;7784465;1521786;2155322;26539849;0;0;sort;2;BusyBox;cat_repeat12.csv
0;63293;90637;16235;24785;280151;0;0;touch;2;ToyBox;cat_repeat12.csv
0;67809;104492;19104;25017;333801;0;0;ls;1;BusyBox;cat_repeat12.csv
0;61645;88195;14771;24729;285583;0;0;touch;1;GNU;cat_repeat12.csv
0;66528;90698;15564;25308;288085;0;0;du;2;ToyBox;cat_repeat12.csv
0;22057621;31057355;6991009;7786451;103717630;0;0;cp;1;GNU;cat_repeat12.csv
0;1546260;2173762;365295;513979;6712446;0;0;cut;1;BusyBox;cat_repeat12.csv
0;62744;88623;14892;24654;282776;0;0;touch;2;GNU;cat_repeat12.csv
0;15432090;21308051;3892629;6142049;71015870;0;0;sort;2;ToyBox;cat_repeat12.csv
0;87951;115540;19409;33124;400695;0;0;cat;1;ToyBox;cat_repeat12.csv
0;73242;104980;18677;25648;331115;0;0;ls;2;GNU;cat_repeat12.csv
0;15518148;21287726;3962148;6165921;74344903;0;0;sort;1;ToyBox;cat_repeat12.csv
0;71045;105285;18738;25295;327636;0;0;ls;1;GNU;cat_repeat12.csv
0;4384754;6439864;1293576;1715557;21863713;0;0;mv;1;GNU;cat_repeat12.csv
0;63415;91370;16541;24623;292968;0;0;cat;2;BusyBox;cat_repeat12.csv
0;65125;96924;16174;25356;317138;0;0;ls;1;ToyBox;cat_repeat12.csv
0;2385003;3140373;812620;636482;8810402;0;0;sort;1;GNU;cat_repeat12.csv
0;64148;91187;15503;24707;304138;0;0;wc;2;BusyBox;cat_repeat12.csv
0;62622;88257;14892;24756;303649;0;0;touch;1;BusyBox;cat_repeat12.csv
0;58471;82276;13672;23268;264831;0;0;du;1;ToyBox;cat_repeat12.csv
0;62683;88745;14221;24746;269042;0;0;wc;2;GNU;cat_repeat12.csv
0;29351976;44779732;10716037;12412817;159156697;0;0;cp;2;GNU;cat_repeat12.csv
0;68298;100036;16663;26666;334044;0;0;ls;2;ToyBox;cat_repeat12.csv
0;73547;108704;20385;25190;330199;0;0;du;2;BusyBox;cat_repeat12.csv
0;4564868;6592756;1298397;1683983;21758245;0;0;mv;1;BusyBox;cat_repeat12.csv
0;472838;675047;113648;154789;2054743;0;0;cut;2;GNU;cat_repeat12.csv
0;2358453;3140617;851804;633556;8667092;0;0;sort;2;GNU;cat_repeat12.csv
0;65429;91675;15625;25037;282897;0;0;wc;2;ToyBox;cat_repeat12.csv
0;7491253;10742892;1907283;2743320;35131624;0;0;cut;1;ToyBox;cat_repeat15.csv
0;843076;1147336;180664;300204;3742666;0;0;cut;2;BusyBox;cat_repeat15.csv
0;65368;91064;15503;25056;284301;0;0;wc;1;GNU;cat_repeat15.csv
0;58655;82459;13794;23234;281493;0;0;du;1;BusyBox;cat_repeat15.csv
0;7168927;11599580;2697015;4492400;49855707;3357;0;mv;2;BusyBox;cat_repeat15.csv
0;21994573;30936078;6975018;7757202;103002789;0;0;cp;1;BusyBox;cat_repeat15.csv
0;63659;89782;15381;24895;281616;0;0;wc;1;ToyBox;cat_repeat15.csv
0;62316;88989;15136;25156;291870;0;0;cat;1;GNU;cat_repeat15.csv
0;64148;86548;15441;24811;308471;0;0;wc;1;BusyBox;cat_repeat15.csv
0;62012;87707;14771;24836;288635;0;0;cat;1;BusyBox;cat_repeat15.csv
0;4065114;5611131;1057920;1597374;19761607;0;0;mv;1;ToyBox;cat_repeat15.csv
0;634886;926511;168944;226887;2942925;0;0;cut;1;GNU;cat_repeat15.csv
0;28932055;44606331;10787326;12346607;158074852;11902;0;cp;2;ToyBox;cat_repeat15.csv
0;5847886;7948588;1577999;2208439;27069816;0;0;sort;1;BusyBox;cat_repeat15.csv
0;6624129;9220131;1556515;2578546;31437114;0;0;cut;2;ToyBox;cat_repeat15.csv
0;72631;109619;20141;25375;328979;0;0;du;2;GNU;cat_repeat15.csv
0;6820112;10958651;2546625;4254923;47229554;0;0;mv;2;ToyBox;cat_repeat15.csv
0;62927;88195;14954;25068;280639;0;0;touch;1;ToyBox;cat_repeat15.csv
0;83435;117066;19959;32890;389038;0;0;cat;2;ToyBox;cat_repeat15.csv
0;67077;95581;17211;23363;298278;0;0;du;1;GNU;cat_repeat15.csv
0;4442433;6185104;1175107;1825845;20621163;0;0;mv;2;GNU;cat_repeat15.csv
0;22661930;32421976;7438885;7818531;106202120;22400;0;cp;1;ToyBox;cat_repeat15.csv
0;64636;90271;15503;24981;301146;0;0;cat;2;GNU;cat_repeat15.csv
0;28695910;44059823;10636386;12472649;157754662;1404;0;cp;2;BusyBox;cat_repeat15.csv
0;64148;90942;15625;25003;307128;0;0;ls;2;BusyBox;cat_repeat15.csv
0;60852;85266;14343;24447;293761;0;0;touch;2;BusyBox;cat_repeat15.csv
0;5791428;7974467;1575374;2161142;27041129;10376;0;sort;2;BusyBox;cat_repeat15.csv
0;62805;89356;14892;24860;284423;0;0;touch;2;ToyBox;cat_repeat15.csv
0;63843;93261;16601;24602;308715;0;0;ls;1;BusyBox;cat_repeat15.csv
0;63110;91186;14893;26144;299499;0;0;touch;1;GNU;cat_repeat15.csv
0;65368;91369;15747;25193;312316;0;0;du;2;ToyBox;cat_repeat15.csv
0;22047490;31125226;7036481;7814227;103638406;1403;0;cp;1;GNU;cat_repeat15.csv
