PSYS_repeat21,DURATION_repeat21,Utilities,Program,config,PSYS_repeat22,DURATION_repeat22,PSYS_repeat23,DURATION_repeat23
307738,25140,GNU,id,1,310058,24846,303893,24976
345397,29456,ToyBox,id,1,293090,24641,303283,24702
14115869,1149113,BusyBox,expand,1,14288049,1149046,14220911,1148616
6865034,548305,GNU,expand,1,6633528,547317,6804121,548042
508299,42460,ToyBox,expand,1,488647,37974,487364,38232
293335,24573,BusyBox,link,1,306335,24636,290954,24565
304443,24693,GNU,link,1,311706,24626,301818,24593
321593,28494,ToyBox,link,1,303588,24663,289428,24592
98947744,7738445,BusyBox,cp,1,99549916,7763403,98469597,7738005
99075552,7778181,GNU,cp,1,99471425,7804837,115041820,9063448
99091177,7782596,ToyBox,cp,1,98693167,7761086,98568351,7738996
279784,24390,BusyBox,touch,1,281066,24612,269104,24525
280639,24605,GNU,touch,1,282836,24649,281981,24783
294616,25450,ToyBox,touch,1,270385,24714,280761,24757
295775,24331,BusyBox,head,1,301513,24330,293823,24483
311217,24738,GNU,head,1,307556,24521,299133,24449
340881,30201,ToyBox,head,1,322387,26349,303832,24642
280517,24585,BusyBox,mv,1,272826,24666,280028,24297
280700,24928,GNU,mv,1,295837,25294,277465,25199
284728,25156,ToyBox,mv,1,281555,24590,280517,24500
297972,24414,BusyBox,date,1,276427,24411,310363,24633
295653,24537,GNU,date,1,298584,24562,296996,24734
333252,29299,ToyBox,date,1,310485,24727,309142,24622
81297522,7228935,BusyBox,wc,1,81421667,7230898,81313329,7231052
426204170,37680193,GNU,wc,1,430380795,38040721,429680846,37719456
111239705,9923319,ToyBox,wc,1,111174459,9932667,111274068,9937899
127311442,10430021,BusyBox,comm,1,117379216,10403142,116601996,10403825
55254436,4910525,GNU,comm,1,59361054,4911828,55211894,4911968
573406369,53614709,ToyBox,comm,1,573004942,53542499,572500915,53350997
300780,24890,BusyBox,df,1,301818,24816,309082,24737
287108,25369,GNU,df,1,326354,25330,321471,25330
342345,29348,ToyBox,df,1,324462,26096,322204,26075
292663,24487,BusyBox,factor,1,308715,24594,292358,24438
307983,24668,GNU,factor,1,309325,24672,309142,24815
320922,28550,ToyBox,factor,1,304503,24567,307677,24836
282897,23226,BusyBox,du,1,285277,23167,282714,23099
283934,23129,GNU,du,1,286499,23221,281798,23083
292785,23556,ToyBox,du,1,295410,23222,285827,23314
303161,24458,BusyBox,id,1,303649,24513,293090,24378
307738,25140,GNU,id,1,310058,24846,303893,24976
345397,29456,ToyBox,id,1,293090,24641,303283,24702
14115869,1149113,BusyBox,expand,1,14288049,1149046,14220911,1148616
6865034,548305,GNU,expand,1,6633528,547317,6804121,548042
508299,42460,ToyBox,expand,1,488647,37974,487364,38232
293335,24573,BusyBox,link,1,306335,24636,290954,24565
304443,24693,GNU,link,1,311706,24626,301818,24593
321593,28494,ToyBox,link,1,303588,24663,289428,24592
98947744,7738445,BusyBox,cp,1,99549916,7763403,98469597,7738005
99075552,7778181,GNU,cp,1,99471425,7804837,115041820,9063448
99091177,7782596,ToyBox,cp,1,98693167,7761086,98568351,7738996
279784,24390,BusyBox,touch,1,281066,24612,269104,24525
280639,24605,GNU,touch,1,282836,24649,281981,24783
294616,25450,ToyBox,touch,1,270385,24714,280761,24757
295775,24331,BusyBox,head,1,301513,24330,293823,24483
311217,24738,GNU,head,1,307556,24521,299133,24449
340881,30201,ToyBox,head,1,322387,26349,303832,24642
280517,24585,BusyBox,mv,1,272826,24666,280028,24297
280700,24928,GNU,mv,1,295837,25294,277465,25199
284728,25156,ToyBox,mv,1,281555,24590,280517,24500
297972,24414,BusyBox,date,1,276427,24411,310363,24633
